Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
28,3,4.014968,18,1
25,13,3.707929,14,2
26,8,3.348458,11,5
27,2,4.356465,17,5
23,16,2.904135,13,23
25,14,3.687010,14,3
25,15,3.680651,13,1
28,4,3.978238,17,5
25,16,3.412704,13,2
29,1,4.321977,20,6
17,22,3.124046,10,28
27,3,4.310588,17,5
25,17,3.401597,12,3
28,5,3.940444,16,3
29,2,4.313013,20,2
26,9,3.337458,10,15
25,18,3.357043,12,3
28,6,3.835083,16,3
23,17,2.892019,12,10
25,19,3.346261,11,4
26,10,3.144092,10,8
12,24,2.861576,8,80
30,-1,4.492596,18,0
26,11,3.089263,10,3
28,7,3.811290,16,5
13,14,3.095480,9,59
29,3,4.120047,20,6
31,-1,4.262877,17,0
26,12,3.039675,10,5
27,4,3.786484,18,10
30,0,4.450482,17,3
17,23,3.114149,9,20
29,4,3.817347,20,2
31,0,4.226182,17,3
25,20,3.185582,11,10
28,8,3.640627,16,6
29,5,3.777234,20,4
22,15,3.291990,8,49
25,21,3.173656,10,5
26,13,2.997724,9,12
30,1,4.433445,18,7
25,22,3.134261,10,1
28,9,3.590895,16,4
22,16,3.283541,8,6
25,23,3.121231,9,3
21,11,3.381043,12,71
31,1,4.121125,18,6
27,5,3.745602,18,8
32,-1,4.818766,16,0
25,24,3.119711,10,2
30,2,4.075104,18,4
28,10,3.552504,15,3
22,17,3.274064,8,3
27,6,3.721890,18,1
33,-1,4.781647,17,0
32,0,4.704028,16,1
31,2,4.087052,17,2
26,14,2.985968,8,10
31,3,3.833706,16,1
33,0,4.317642,17,2
32,1,4.163210,17,2
28,11,3.522784,15,3
33,1,4.289432,16,1
26,15,2.905337,8,5
23,18,2.871581,11,27
33,2,4.226304,17,2
29,6,3.764945,20,8
27,7,3.711008,18,5
30,3,4.006702,17,8
27,8,3.692379,18,2
26,16,2.892468,7,12
28,12,3.503225,15,7
32,2,4.161293,18,6
33,3,4.041637,17,4
27,9,3.667254,17,2
33,4,4.012879,16,1
33,5,4.005651,17,1
28,13,3.488157,15,3
26,17,2.879897,6,7
31,4,3.765719,15,11
33,6,3.938099,17,1
29,7,3.534702,20,7
31,5,3.748141,15,1
33,7,3.884503,17,1
28,14,3.447347,15,2
