Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
12,40,2.876669,9,70
13,46,2.773949,7,9
1,58,2.928551,7,10
8,46,3.191784,8,46
8,46,3.200732,9,46
2,38,2.861576,8,78
2,38,2.876669,9,78
8,47,3.191784,8,1
17,12,3.451861,14,9
16,34,2.709020,7,54
16,34,2.778243,8,54
14,59,2.718934,8,29
17,13,3.450653,15,9
15,44,2.786773,9,72
15,44,2.801423,10,72
16,35,2.709020,7,10
2,39,2.861576,8,19
7,56,2.783660,8,69
7,56,2.789505,9,69
14,60,2.709020,7,13
3,65,2.709020,7,63
3,65,2.718934,8,63
7,57,2.783660,8,7
15,45,2.786773,9,11
11,28,3.177727,12,76
11,28,3.177727,12,76
6,62,2.805902,6,61
6,62,2.818375,7,61
