Run,Step,BitsPerBase,GrammarSize,NeighborsEvaluated
40,1,3.836781,21,78
39,3,3.368389,16,91
41,0,3.674311,18,87
40,2,3.774390,20,98
41,1,3.553257,17,81
39,4,3.324842,16,86
41,2,3.455418,16,80
40,3,3.698313,20,95
41,3,3.398293,16,74
39,5,3.274940,16,94
41,4,3.333235,15,77
40,4,3.626005,19,88
39,6,3.227308,15,92
41,5,3.270762,14,74
41,6,3.162081,14,68
40,5,3.563940,18,89
39,7,3.177727,14,85
41,7,3.067657,13,81
41,8,2.996272,12,83
40,6,3.496022,17,87
42,-1,4.478733,19,0
41,9,2.953875,11,76
41,10,2.920140,10,82
41,11,2.880856,9,75
42,0,4.300028,20,93
40,7,3.425779,17,85
41,12,2.872767,8,71
41,13,2.856554,9,73
41,14,2.842427,8,70
42,1,4.087856,19,95
41,15,2.838528,7,66
40,8,3.350956,16,86
41,16,2.837235,7,61
41,17,2.808472,8,53
43,-1,5.002924,20,0
42,2,3.919556,18,90
40,9,3.302642,15,84
42,3,3.772413,17,93
43,0,4.186858,21,92
40,10,3.242168,14,88
42,4,3.268694,16,96
44,-1,3.530721,19,0
43,1,3.936115,20,92
42,5,3.167162,15,93
44,0,3.376837,18,92
42,6,3.076963,15,81
43,2,3.458566,19,89
42,7,3.018325,14,88
44,1,3.302642,17,87
43,3,3.377387,18,90
42,8,2.961252,13,81
42,9,2.869147,13,85
44,2,3.242168,17,90
43,4,3.288531,17,90
42,10,2.801000,12,89
42,11,2.789458,11,85
45,-1,4.359198,20,0
43,5,3.229154,16,89
42,12,2.783962,10,77
42,13,2.744541,10,76
43,6,3.164976,15,89
45,0,4.077243,20,94
42,14,2.701186,10,77
42,15,2.681230,9,67
42,16,2.670215,8,63
43,7,3.070536,15,84
42,17,2.661776,8,56
46,-1,4.759876,16,0
45,1,3.830611,19,99
43,8,2.989668,14,88
43,9,2.953556,14,92
46,0,3.632964,16,86
45,2,3.622536,18,94
43,10,2.943208,13,91
46,1,3.368389,15,86
45,3,3.432349,18,85
43,11,2.932419,12,83
43,12,2.921103,11,83
46,2,3.324842,15,87
47,-1,4.536989,18,0
45,4,3.310290,17,93
46,3,3.274940,15,85
47,0,3.599464,18,92
45,5,3.234215,16,89
46,4,3.227308,15,90
47,1,3.490273,19,86
45,6,3.164510,15,83
46,5,3.177727,14,84
47,2,3.416252,19,95
45,7,3.099372,14,92
48,-1,4.483751,18,0
47,3,3.358904,19,91
45,8,3.018078,13,87
48,0,4.288160,17,90
47,4,2.985166,19,88
45,9,2.985471,13,88
48,1,3.642566,17,93
47,5,2.893298,18,89
45,10,2.924765,13,87
48,2,3.546743,16,87
45,11,2.814349,13,81
47,6,2.839930,17,91
48,3,3.466549,17,87
45,12,2.785040,14,74
47,7,2.816119,16,93
48,4,3.430318,17,83
45,13,2.784394,13,88
47,8,2.787012,15,86
48,5,3.385765,17,84
45,14,2.783528,12,76
47,9,2.776660,14,85
45,15,2.782669,11,80
48,6,3.354197,16,83
47,10,2.765555,13,82
45,16,2.732212,11,75
47,11,2.754020,12,83
45,17,2.717721,11,79
48,7,3.093352,16,87
47,12,2.749591,11,76
45,18,2.710934,10,79
47,13,2.744849,10,77
48,8,3.051069,15,90
49,-1,4.213502,16,0
47,14,2.739575,9,78
50,-1,3.995065,19,0
48,9,3.034036,14,91
49,0,3.923237,15,80
50,0,3.733970,19,96
48,10,3.024876,13,87
49,1,3.823557,14,74
48,11,3.015497,12,71
50,1,3.625082,19,89
48,12,3.010920,12,72
49,2,3.357139,13,77
50,2,3.398776,19,86
51,-1,4.848589,20,0
49,3,3.306545,12,68
50,3,3.150835,18,81
49,4,3.198329,12,76
51,0,4.274776,20,93
50,4,3.011672,18,80
49,5,3.129242,12,71
50,5,2.955419,19,78
49,6,3.044801,11,64
51,1,3.803587,20,92
49,7,2.967658,10,66
50,6,2.942298,18,81
49,8,2.960588,10,72
52,-1,4.583178,17,0
51,2,3.724349,20,90
50,7,2.930735,17,79
50,8,2.926087,16,83
52,0,3.809245,18,91
51,3,3.443368,20,100
50,9,2.918087,17,72
52,1,3.572942,17,95
50,10,2.914309,16,75
51,4,3.384548,19,97
53,-1,4.107010,19,0
52,2,3.228879,17,94
53,0,3.701054,19,87
52,3,3.082295,16,94
51,5,3.320271,18,95
52,4,3.015758,15,90
53,1,3.456922,18,90
51,6,3.233616,18,90
52,5,2.970928,14,78
53,2,3.398007,18,89
51,7,3.150471,17,97
52,6,2.879778,15,83
53,3,3.348440,17,86
52,7,2.866943,14,86
51,8,3.088427,16,98
52,8,2.853675,13,75
53,4,3.313030,16,87
51,9,3.030917,15,97
52,9,2.774179,13,69
53,5,3.293204,15,86
52,10,2.769001,12,70
51,10,2.965135,14,97
52,11,2.754020,12,71
53,6,3.278441,14,84
52,12,2.749591,11,78
51,11,2.950052,13,97
52,13,2.744849,10,72
54,-1,4.274678,18,0
52,14,2.739575,9,73
51,12,2.912588,13,96
55,-1,4.273661,18,0
51,13,2.891332,12,76
54,0,3.322509,18,79
51,14,2.877481,11,80
55,0,3.598425,18,90
51,15,2.872129,10,64
54,1,3.238877,17,88
51,16,2.868360,9,68
55,1,3.519817,17,92
51,17,2.866231,8,62
51,18,2.856219,9,60
54,2,3.132110,16,84
56,-1,4.151749,19,0
55,2,3.447797,16,85
54,3,3.076091,15,83
56,0,3.925399,19,81
55,3,3.371077,15,89
54,4,3.009192,14,83
54,5,2.996220,13,75
56,1,3.499704,20,91
55,4,3.301172,14,86
54,6,2.984545,12,84
55,5,3.230198,14,89
54,7,2.955351,11,72
56,2,3.407422,20,88
55,6,3.168221,13,79
54,8,2.917819,11,74
54,9,2.891038,10,81
56,3,3.310091,19,89
55,7,3.055688,13,80
54,10,2.876995,9,67
57,-1,4.912831,18,0
55,8,3.012957,13,83
56,4,3.262999,18,88
55,9,2.891310,14,88
57,0,4.177264,17,88
56,5,3.244717,17,88
55,10,2.860484,15,92
57,1,3.740902,17,86
56,6,3.231465,17,83
55,11,2.830743,14,86
57,2,3.657553,16,89
56,7,3.223471,16,79
55,12,2.821394,13,91
56,8,3.214950,15,82
57,3,3.517688,16,87
55,13,2.812529,12,77
56,9,2.942422,15,77
55,14,2.803569,11,77
57,4,3.436475,17,92
55,15,2.794406,10,67
56,10,2.922682,14,65
55,16,2.784599,9,63
58,-1,4.568661,18,0
57,5,3.341404,16,89
56,11,2.901148,13,76
56,12,2.889293,12,71
58,0,3.825637,18,85
57,6,3.281064,16,92
56,13,2.877005,11,64
56,14,2.873442,10,60
56,15,2.866963,9,63
58,1,3.559640,18,86
57,7,3.230022,15,87
56,16,2.837901,9,62
56,17,2.833051,8,56
59,-1,4.109383,18,0
57,8,3.158429,16,86
58,2,3.449351,17,87
57,9,3.112832,15,93
59,0,3.579073,19,94
58,3,3.413044,16,91
57,10,3.095636,14,85
58,4,3.368389,15,85
59,1,3.507468,18,94
57,11,3.070353,14,90
58,5,3.324842,14,82
57,12,3.060962,13,86
59,2,3.448140,18,97
58,6,3.274940,14,89
57,13,3.050941,12,85
58,7,3.227308,14,88
57,14,3.046788,12,85
59,3,3.379009,18,95
60,-1,4.531528,18,0
58,8,3.177727,14,89
