RunID,RuleCount,NonTerminalCount,RunNumber,step,bitsPerBase,grammarSize,neighborsEvaluated
8_20_37,20,37,8,2,5.072097062011548,17,10
8_20_37,20,37,8,3,4.150469390169068,18,4
9_20_37,20,37,9,2,4.334503053827163,17,11
6_20_37,20,37,6,22,2.8181823243754405,13,75
8_20_37,20,37,8,4,4.123011392699751,18,19
8_20_37,20,37,8,5,4.099683462263695,18,7
9_20_37,20,37,9,3,4.328899532829027,16,24
8_20_37,20,37,8,6,4.029161988693045,18,9
9_20_37,20,37,9,4,4.1722757662023895,16,8
8_20_37,20,37,8,7,3.90457698978973,18,7
8_20_37,20,37,8,8,3.8579793505836935,18,2
9_20_37,20,37,9,5,3.8071585666147527,16,8
8_20_37,20,37,8,9,3.8427348000136123,19,10
9_20_37,20,37,9,6,3.7485381155357222,16,5
8_20_37,20,37,8,10,3.7601178857075093,18,2
9_20_37,20,37,9,7,3.6644890079001695,17,8
8_20_37,20,37,8,11,3.6507744979781798,19,7
8_20_37,20,37,8,12,3.643269283617241,19,5
8_20_37,20,37,8,13,3.611462554586265,18,8
9_20_37,20,37,9,8,3.5822548948329413,17,15
8_20_37,20,37,8,14,3.533963936427308,18,4
9_20_37,20,37,9,9,3.3584498556530926,17,2
9_20_37,20,37,9,10,3.311594230035254,16,13
8_20_37,20,37,8,15,3.4950016408078066,17,21
8_20_37,20,37,8,16,3.465913193930631,16,23
8_20_37,20,37,8,17,3.441980059023679,15,43
8_20_37,20,37,8,18,3.4419454114146553,16,6
9_20_37,20,37,9,11,3.311594230035254,16,75
8_20_37,20,37,8,19,3.4038605443904433,15,8
8_20_37,20,37,8,20,3.3694084734740803,15,50
8_20_37,20,37,8,21,3.3389643688612445,14,62
8_20_37,20,37,8,22,3.3310578854828066,14,1
8_20_37,20,37,8,23,3.3260427229753113,13,5
8_20_37,20,37,8,24,3.315612404807596,14,7
6_21_37,21,37,6,-1,4.353411112620598,17,0
2_15_38,15,38,2,-1,4.045166222426915,18,0
5_16_38,16,38,5,-1,5.290261725474513,18,0
6_16_38,16,38,6,0,3.4377040723028585,16,1
2_16_38,16,38,2,0,3.907981866262108,18,1
2_16_38,16,38,2,1,3.8244917428386134,18,3
2_16_38,16,38,2,2,3.796075677469535,17,2
6_16_38,16,38,6,1,3.3254940267116844,16,7
6_16_38,16,38,6,2,3.2749400662651817,16,1
2_16_38,16,38,2,3,3.764517308887441,16,2
5_16_38,16,38,5,0,5.242496012652429,17,8
5_16_38,16,38,5,1,4.822190340100983,17,1
2_16_38,16,38,2,4,3.7333520114922227,15,6
5_16_38,16,38,5,2,4.7586476407864335,17,8
2_16_38,16,38,2,5,3.6969323577548403,15,20
2_16_38,16,38,2,6,3.6690260736695417,14,13
6_16_38,16,38,6,3,3.227307821941678,15,36
5_16_38,16,38,5,3,4.716129860230268,17,27
2_16_38,16,38,2,7,3.634229601485744,14,9
5_16_38,16,38,5,4,4.62936881966572,17,13
2_16_38,16,38,2,8,3.4350036607605126,13,15
6_16_38,16,38,6,4,3.1777272877523415,15,20
5_16_38,16,38,5,5,4.233300889048095,17,15
5_16_38,16,38,5,6,4.17005186567039,17,7
2_16_38,16,38,2,9,3.378587646796191,12,29
5_16_38,16,38,5,7,4.044414926878356,17,36
5_16_38,16,38,5,8,3.898292498261249,17,1
2_16_38,16,38,2,10,3.3721008836424855,13,48
5_16_38,16,38,5,9,3.8453171862103264,17,1
5_16_38,16,38,5,10,3.8146378232560325,17,9
5_16_38,16,38,5,11,3.770715614502766,17,9
6_16_38,16,38,6,5,3.1777272877523415,15,75
7_17_38,17,38,7,-1,4.29179048026184,18,0
5_17_38,17,38,5,12,3.683411049682022,17,2
2_17_38,17,38,2,11,3.358991978778281,14,46
2_17_38,17,38,2,12,3.3401284992162963,14,5
5_17_38,17,38,5,13,3.1627802264515172,17,23
7_17_38,17,38,7,0,4.222338958923773,18,22
5_17_38,17,38,5,14,3.0684060698037334,17,2
5_17_38,17,38,5,15,3.02312271456824,17,8
5_17_38,17,38,5,16,3.004769215054835,17,1
5_17_38,17,38,5,17,3.001639502895406,16,9
5_17_38,17,38,5,18,2.847949118029928,16,2
2_17_38,17,38,2,13,3.33224650434242,14,34
2_17_38,17,38,2,14,3.0171196796550896,14,7
5_17_38,17,38,5,19,2.8356589072346363,15,21
2_17_38,17,38,2,15,3.0128056038642894,14,40
5_17_38,17,38,5,20,2.822404897439469,14,31
5_17_38,17,38,5,21,2.8140964956217456,14,5
2_17_38,17,38,2,16,3.0000854807712907,13,22
7_17_38,17,38,7,1,4.222338958923773,18,75
5_17_38,17,38,5,22,2.807541876621466,13,17
8_18_38,18,38,8,-1,4.550338174740569,17,0
8_18_38,18,38,8,0,4.119424128071894,18,2
8_18_38,18,38,8,1,4.111024354609721,18,4
8_18_38,18,38,8,2,4.070442381963741,18,6
8_18_38,18,38,8,3,3.9961571184415257,18,1
8_18_38,18,38,8,4,3.9874266345897613,18,14
8_18_38,18,38,8,5,3.9472053744822917,17,13
8_18_38,18,38,8,6,3.935663526767487,17,3
2_18_38,18,38,2,17,3.0000854807712907,13,74
10_19_38,19,38,10,-1,4.360967586710116,18,0
10_19_38,19,38,10,0,4.359386951746471,18,4
5_19_38,19,38,5,23,2.807541876621466,13,75
8_19_38,19,38,8,7,3.9238128123498677,16,21
10_19_38,19,38,10,1,4.3430480449308595,18,20
10_19_38,19,38,10,2,4.3429429587602,17,20
10_19_38,19,38,10,3,4.010079891826595,17,16
10_19_38,19,38,10,4,3.992217570569209,16,2
10_19_38,19,38,10,5,3.960387490098667,16,2
10_19_38,19,38,10,6,3.959967145416027,16,1
10_19_38,19,38,10,7,3.776464528017348,15,1
10_19_38,19,38,10,8,3.711345018839753,14,2
10_19_38,19,38,10,9,3.50811726996138,14,1
10_19_38,19,38,10,10,3.4545637099984994,13,13
8_19_38,19,38,8,8,3.9238128123498677,16,75
10_19_38,19,38,10,11,3.3646995882865744,13,13
10_19_38,19,38,10,12,3.358334124183688,12,28
10_19_38,19,38,10,13,3.187885522001268,12,23
10_19_38,19,38,10,14,3.1562385341483994,12,7
10_19_38,19,38,10,15,3.108167626325501,12,4
10_19_38,19,38,10,16,3.093941038864858,11,8
10_19_38,19,38,10,17,2.9405975102117714,11,8
10_19_38,19,38,10,18,2.9278689428361813,10,1
10_19_38,19,38,10,19,2.9122396764494067,11,3
10_19_38,19,38,10,20,2.8357700108441115,12,48
10_19_38,19,38,10,21,2.825107807916001,11,52
10_19_38,19,38,10,22,2.825107807916001,11,56
3_20_38,20,38,3,-1,3.884043962092103,19,0
2_21_38,21,38,2,-1,4.207257261939756,18,0
5_15_39,15,39,5,-1,4.416037062543559,18,0
5_15_39,15,39,5,0,3.7063853277942824,19,1
2_15_39,15,39,2,0,4.048527984439564,19,3
3_15_39,15,39,3,0,3.8767019484664003,19,4
5_15_39,15,39,5,1,3.661199880439967,18,5
2_15_39,15,39,2,1,4.00104749062287,20,5
5_15_39,15,39,5,2,3.6107746571955133,17,4
5_15_39,15,39,5,3,3.5562712884509162,16,4
2_15_39,15,39,2,2,3.9577847981238223,19,14
3_15_39,15,39,3,1,3.857101758806351,20,23
5_15_39,15,39,5,4,3.5201773150700464,16,16
5_15_39,15,39,5,5,3.42400131968784,16,5
5_15_39,15,39,5,6,3.0065472519330396,16,2
2_15_39,15,39,2,3,3.933105121800609,18,14
5_15_39,15,39,5,7,2.9196282533574673,16,3
2_15_39,15,39,2,4,3.881249783666772,18,5
3_15_39,15,39,3,2,3.8562284057014837,19,26
5_15_39,15,39,5,8,2.8377065175666876,16,16
3_15_39,15,39,3,3,3.8560073459486515,19,5
2_15_39,15,39,2,5,3.8663418826927787,18,16
2_15_39,15,39,2,6,3.8543679307821823,17,13
3_15_39,15,39,3,4,3.8554572142662082,18,24
2_15_39,15,39,2,7,3.852986548978648,16,20
2_15_39,15,39,2,8,3.830469529570902,17,2
3_15_39,15,39,3,5,3.8544808473556373,17,19
2_15_39,15,39,2,9,3.8002943030075835,17,33
5_15_39,15,39,5,9,2.8377065175666876,16,75
6_16_39,16,39,6,-1,4.413978972006376,18,0
6_16_39,16,39,6,0,4.398479756038014,18,2
6_16_39,16,39,6,1,4.329153078161545,18,10
3_16_39,16,39,3,6,3.8433752317810135,16,42
6_16_39,16,39,6,2,4.325586858592249,18,7
2_16_39,16,39,2,10,3.4839900133160278,17,21
6_16_39,16,39,6,3,3.92734121635248,18,2
6_16_39,16,39,6,4,3.890028478571978,17,3
2_16_39,16,39,2,11,3.260843418187436,16,6
2_16_39,16,39,2,12,3.18624323030685,16,1
2_16_39,16,39,2,13,3.160692602283437,16,4
6_16_39,16,39,6,5,3.8586787018945463,17,13
6_16_39,16,39,6,6,3.822966368695155,16,8
6_16_39,16,39,6,7,3.6322192166230978,16,4
